fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20231007 230207	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	151	TRUE	100005	0.101914068568567	0.366782372722085	1429	1024	7639	79555000	44
20231007 230225	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	100005	0.298550949366975	0.99645389788362	7737	68	5005	78085000	45
20231007 231405	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	605	TRUE	100005	0.0100298967875706	0.998067929857462	522	958	7286	84525000	46
20231007 232116	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1307	TRUE	100005	0.0100113277579955	0.504464766130592	5722	1011	7372	83930000	47
20231007 232932	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	905	TRUE	100005	0.0100376146685631	0.463030102089369	1470	1024	7076	87395000	48
20231007 233658	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1731	TRUE	100005	0.0100894490895094	0.202952411014516	7992	231	10532	79170000	49
20231007 233738	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	100005	0.1337104056089	0.598368742376205	7991	1024	8934	82810000	50
20231007 234320	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	402	TRUE	100005	0.010073863593445	0.424022453894256	1254	200	7243	86520000	51
20231007 234352	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	66	TRUE	100005	0.15480272687135	0.999854033420646	7994	119	7675	81795000	52
20231007 235144	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1218	TRUE	100005	0.0100302371674257	0.347473329777491	2870	160	8345	85785000	53
20231007 235204	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	100005	0.299420204926174	0.998516083376257	11	29	5031	58590000	54
20231007 235230	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	100005	0.185813056197158	0.200871450332425	3296	158	7144	81340000	55
20231007 235302	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	100005	0.299894409516796	0.269644674654505	7997	997	6732	81690000	56
20231007 235332	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	100005	0.299270467869305	0.200110292520592	4445	1024	7887	79205000	57
20231008 000044	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	735	TRUE	100005	0.0100160651588108	0.752178087522425	1375	1023	10001	82880000	58
20231008 000131	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	87	TRUE	100005	0.195651755848265	0.21279348326869	7999	31	5001	77840000	59
20231008 000150	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	100005	0.299866207396717	0.763919593799537	7999	584	8880	80360000	60
20231008 000600	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	664	TRUE	100005	0.0102317563174024	0.323490970776631	7995	1022	14993	66430000	61
20231008 000626	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	100005	0.299973895977884	0.327085585228042	5186	518	5008	78925000	62
20231008 000710	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	113	TRUE	100005	0.138746316809996	0.965963342878702	7995	1023	5000	78680000	63
20231008 001531	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1546	TRUE	100005	0.0100523479464075	0.267499886949137	4316	1016	9646	82005000	64
20231008 001628	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	100005	0.119095466738317	0.996800167768769	5615	219	7433	84630000	65
20231008 001715	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	144	TRUE	100005	0.139815461180775	0.999761591328082	6012	840	8025	82985000	66
20231008 001744	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	64	TRUE	100005	0.125005357565816	0.987202479897036	6753	368	10096	78015000	67
20231008 001813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	100005	0.142811383091474	0.520332231754638	5321	27	7264	80780000	68
20231008 002348	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1068	TRUE	100005	0.0102077027570705	0.984769851494094	5470	541	7607	85645000	69
20231008 002411	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	18	TRUE	100005	0.299088342597511	0.999599225465045	5961	571	7265	79905000	70
20231008 003056	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1339	TRUE	100005	0.0100991780906947	0.909413833152744	4995	158	7461	85820000	71
20231008 003710	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	455	TRUE	100005	0.0101103172996378	0.394369947939533	1181	879	7510	87430000	72
20231008 004145	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	864	TRUE	100005	0.0114579724557502	0.995309175476036	7997	1022	7763	82320000	73
20231008 004903	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	578	TRUE	100005	0.0100495605486946	0.208094816370499	1063	894	5963	81760000	74
20231008 005003	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	156	TRUE	100005	0.190866959071478	0.201035269162537	8000	838	7801	81760000	75
